Wall time,Step,Value
1658986905.908139,7962624,2786.4599609375
1658986924.3578622,7970816,2503.5
1658986998.2797253,8003584,417.67999267578125
1658987016.8176963,8011776,728.1699829101562
1658987035.362868,8019968,1306.6500244140625
1658987053.8531904,8028160,1885.0999755859375
1658987109.299754,8052736,2372.56005859375
1658987127.7935617,8060928,2600.760009765625
1658987146.2948122,8069120,2645.530029296875
1658987201.841279,8093696,1875.199951171875
1658987220.4250455,8101888,1963.18994140625
1658987368.7852814,8167424,514.8200073242188
1658987442.5031633,8200192,1113.449951171875
1658987479.4271572,8216576,2133.679931640625
1658987516.5727494,8232960,2402.669921875
1658987535.0576103,8241152,2454.64990234375
1658987590.5819337,8265728,2976.510009765625
1658987646.2551785,8290304,3624.699951171875
1658987664.8115408,8298496,3735.320068359375
1658987683.3473403,8306688,3984.389892578125
1658987701.7391248,8314880,3981.14990234375
1658987757.3132582,8339456,3948.9599609375
1658987904.3752136,8404992,3104.570068359375
1658987941.3595462,8421376,2599.31005859375
1658988015.4144237,8454144,1560.4000244140625
1658988033.919278,8462336,1727.56005859375
1658988089.3632889,8486912,2179.85009765625
1658988126.3320308,8503296,2181.47998046875
1658988163.530839,8519680,2185.860107421875
1658988253.739442,8560640,2185.93994140625
1658988379.5185933,8617984,2152.8798828125
1658988397.301432,8626176,2152.820068359375
1658988450.9930089,8650752,2180.8701171875
1658988486.5917706,8667136,2180.320068359375
1658988594.8317559,8716288,2179.56005859375
1658988612.7620592,8724480,2184.5
1658988648.8880875,8740864,2182.2099609375
1658988685.0319178,8757248,2175.18994140625
1658988756.9938326,8790016,2204.929931640625
1658988829.219645,8822784,2294.5400390625
1658988865.3587136,8839168,2314.550048828125
1658988955.6315992,8880128,2769.300048828125
1658988973.758469,8888320,2896.320068359375
1658988991.777173,8896512,3031.719970703125
1658989118.3356812,8953856,2977.72998046875
1658989136.2982404,8962048,2944.93994140625
1658989244.247114,9011200,2862.27490234375
1658989316.2117167,9043968,2796.695068359375
1658989334.1651108,9052160,2796.695068359375
1658989352.1323051,9060352,2749.344970703125
1658989513.8522713,9134080,2356.39501953125
1658989549.9604492,9150464,2356.39501953125
1658989603.9653769,9175040,2214.1298828125
1658989712.0253644,9224192,2172.969970703125
1658989730.1280417,9232384,2202.9951171875
1658989802.2194176,9265152,2369.514892578125
1658989856.0709567,9289728,2428.330078125
1658989873.9771006,9297920,2524.31005859375
1658989891.9573627,9306112,2614.4599609375
1658990145.5805445,9420800,4600.08984375
1658990199.860736,9445376,4531.14990234375
1658990254.2066708,9469952,4594.0400390625
1658990272.2900398,9478144,4649.64013671875
1658990290.3218193,9486336,4727.14990234375
1658990344.590522,9510912,4694.35986328125
1658990362.7490232,9519104,4688.68017578125
1658990380.7819946,9527296,4728.31005859375
1658990705.2872064,9674752,3670.300048828125
1658990741.382134,9691136,2882.8798828125
1658990759.4608033,9699328,2537.949951171875
1658990795.4753804,9715712,2118.780029296875
1658990813.652752,9723904,2100.02001953125
1658990868.4791021,9748480,504.75
1658990922.6807494,9773056,495.69000244140625
1658990940.5884879,9781248,499.2699890136719
1658990976.4070423,9797632,601.010009765625
1658991012.3452377,9814016,646.780029296875
1658991048.3638704,9830400,706.780029296875
1658991084.4459593,9846784,787.780029296875
1658991138.447636,9871360,999.489990234375
1658991174.3836238,9887744,1032.9200439453125
1658991210.3119655,9904128,1161.4100341796875
1658991246.4041843,9920512,1304.68994140625
1658991282.4135761,9936896,1430.6800537109375
1658991318.5127509,9953280,1515.7099609375
1658991499.3508575,10035200,1913.0699462890625
1658991571.6886742,10067968,1958.4000244140625
1658991643.959531,10100736,2058.02001953125
1658991662.077615,10108928,2067.590087890625
1658991680.2041042,10117120,2080.4599609375
1658991716.2421002,10133504,2055.10009765625
1658991771.3522387,10158080,2133.8798828125
1658991825.6387737,10182656,2023.3399658203125
1658991862.1735737,10199040,2149.64990234375
1658991916.4860609,10223616,765.1699829101562
1658992025.2758787,10272768,2174.52001953125
1658992061.5558393,10289152,2143.5
1658992097.7565198,10305536,2156.5
1658992115.882855,10313728,2156.419921875
1658992170.1477702,10338304,2171.889892578125
1658992188.2550254,10346496,2104.840087890625
1658992206.3304856,10354688,2110.2900390625
1658992260.6972005,10379264,2167.659912109375
1658992405.6965992,10444800,2107.580078125
1658992496.176936,10485760,2042.77001953125
1658992532.2704647,10502144,2099.169921875
1658992641.1962266,10551296,1716.9599609375
1658992713.21407,10584064,1503.8699951171875
1658992731.2400756,10592256,1503.8699951171875
1658992749.3472147,10600448,1503.8699951171875
1658992767.4096513,10608640,1456.8199462890625
1658992875.839361,10657792,1056.47998046875
1658992930.2549248,10682368,992.0900268554688
1658993057.2567651,10739712,873.9400024414062
1658993093.4972398,10756096,986.0399780273438
1658993148.145118,10780672,1093.75
1658993166.1928449,10788864,1087.260009765625
1658993220.6999679,10813440,1114.3599853515625
1658993238.7175784,10821632,1127.780029296875
1658993329.6376855,10862592,1134.22998046875
1658993347.6930356,10870784,1159.3499755859375
1658993365.7573974,10878976,1176.8699951171875
1658993420.2214904,10903552,1206.0
1658993474.3876913,10928128,1275.5999755859375
1658993492.5851831,10936320,1275.5999755859375
1658993510.5921936,10944512,1265.7099609375
1658993528.6637883,10952704,1269.1600341796875
1658993546.9135315,10960896,1308.81005859375
1658993656.042586,11010048,1191.2900390625
1658993764.7249079,11059200,1168.3800048828125
1658993873.147733,11108352,1124.989990234375
1658993945.072439,11141120,1167.8199462890625
1658993981.21718,11157504,1152.25
1658994071.853457,11198464,1302.4599609375
1658994144.3285747,11231232,1387.5799560546875
1658994271.2534995,11288576,1825.7099609375
1658994307.4180477,11304960,1909.9000244140625
1658994361.6239731,11329536,1922.1199951171875
1658994397.7950149,11345920,2088.840087890625
1658994415.8984573,11354112,2128.340087890625
1658994470.6348267,11378688,2131.639892578125
1658994489.1699932,11386880,2185.739990234375
1658994525.8668754,11403264,2185.1201171875
1658994544.3077521,11411456,2189.68994140625
1658994599.1429932,11436032,2195.010009765625
1658994909.8838024,11575296,2185.75
1658994928.2493684,11583488,2185.77001953125
1658994946.5239508,11591680,2185.800048828125
1658995037.7288682,11632640,2170.590087890625
1658995092.3735898,11657216,2185.409912109375
1658995165.3740156,11689984,2218.56005859375
1658995183.6678615,11698176,2223.68994140625
1658995201.9483206,11706368,2227.3798828125
1658995274.9836736,11739136,2270.3701171875
1658995293.0882094,11747328,2280.27001953125
1658995311.2455766,11755520,2291.570068359375
1658995347.54775,11771904,2278.56005859375
1658995384.118628,11788288,2283.530029296875
1658995420.2118556,11804672,2288.449951171875
1658995456.1521466,11821056,2287.949951171875
1658995601.0603049,11886592,2263.60009765625
1658995691.0107737,11927552,2269.919921875
1658995709.047189,11935744,2269.9599609375
1658995872.0838153,12009472,2170.52001953125
1658995890.273055,12017664,2152.35009765625
1658996089.042899,12107776,2223.699951171875
1658996233.4417076,12173312,1433.56005859375
1658996251.4803827,12181504,1432.0699462890625
1658996306.1358051,12206080,1428.0
1658996342.3799148,12222464,1452.1199951171875
1658996360.4189053,12230656,1645.31005859375
1658996505.264567,12296192,2206.18994140625
1658996523.31957,12304384,2206.18994140625
1658996541.4204943,12312576,2216.030029296875
1658996559.6353772,12320768,2235.6201171875
1658996613.682106,12345344,2258.679931640625
1658996649.681141,12361728,2435.199951171875
1658996667.7537858,12369920,2519.280029296875
1658996685.8665469,12378112,2603.2099609375
1658996830.421559,12443648,2907.2900390625
1658996920.9527788,12484608,3699.469970703125
1658996938.958991,12492800,3726.239990234375
1658996993.6372232,12517376,3934.300048828125
1658997120.0584688,12574720,3975.81005859375
1658997156.259723,12591104,3924.64990234375
1658997337.582379,12673024,4417.52001953125
1658997428.237462,12713984,4442.47998046875
1658997446.31185,12722176,4368.47021484375
1658997482.563559,12738560,4166.31982421875
1658997500.5915246,12746752,4092.27001953125
1658997609.3485293,12795904,4351.89990234375
1658997627.3707628,12804096,4379.77001953125
1658997736.564987,12853248,4196.5498046875
1658997755.0279531,12861440,4170.2998046875
1658997918.0149732,12935168,4168.8701171875
1658997990.460726,12967936,4159.39990234375
1658998026.7348325,12984320,4225.259765625
1658998099.5371585,13017088,4289.009765625
1658998262.6770184,13090816,4656.169921875
1658998298.8119888,13107200,4608.52978515625
1658998353.4058485,13131776,4642.1201171875
1658998389.534307,13148160,4618.10009765625
1658998407.5264883,13156352,4575.47998046875
1658998498.1184392,13197312,4544.22998046875
1658998552.6300306,13221888,4525.10986328125
1658998643.421751,13262848,4441.66015625
1658998679.8256881,13279232,4480.740234375
1658998752.2426605,13312000,4256.5048828125
1658998788.523474,13328384,4191.634765625
1658998806.6119153,13336576,4154.97509765625
1658998824.7550638,13344768,4224.34521484375
1658998860.9742055,13361152,4411.35498046875
1658998897.1006606,13377536,3862.60009765625
1658998988.0218909,13418496,2990.010009765625
1658999043.1043108,13443072,2124.39990234375
1658999079.8551273,13459456,2153.719970703125
1658999134.7799575,13484032,2164.72998046875
1658999189.8936508,13508608,2194.2099609375
1658999263.0345411,13541376,2231.60009765625
1658999391.0057163,13598720,2250.705078125
1658999409.3411412,13606912,2256.97509765625
1658999427.4278526,13615104,2274.9951171875
1658999554.9632983,13672448,2302.18505859375
1658999591.4496098,13688832,2318.9599609375
1658999627.7762125,13705216,2318.9599609375
1658999682.6160586,13729792,2335.830078125
1658999700.963145,13737984,2335.830078125
1658999810.3234959,13787136,2382.22998046875
1658999828.524546,13795328,2382.22998046875
1658999901.47135,13828096,2058.52001953125
1658999973.6214526,13860864,2058.52001953125
1659000027.8232665,13885440,2058.52001953125
1659000045.7711117,13893632,2058.52001953125
1659000063.8869655,13901824,2058.52001953125
1659000081.9081588,13910016,2058.52001953125
1659000118.0598488,13926400,2058.52001953125
1659000172.1894705,13950976,2058.52001953125
1659000298.5340333,14008320,2058.52001953125
1659000316.5130806,14016512,2058.52001953125
1659000406.8510816,14057472,2058.52001953125
1659000442.8416138,14073856,2058.52001953125
1659000460.9971116,14082048,2058.52001953125
1659000479.1655614,14090240,2058.52001953125
1659000641.8249052,14163968,2058.52001953125
1659000714.3752096,14196736,2058.52001953125
1659000732.4374607,14204928,2058.52001953125
1659000750.5919232,14213120,2058.52001953125
1659000768.7907472,14221312,2058.52001953125
1659000805.3390005,14237696,2058.52001953125
1659000896.0388966,14278656,2058.52001953125
1659000914.3427753,14286848,2058.52001953125
1659000950.554323,14303232,2058.52001953125
1659000968.651886,14311424,2058.52001953125
1659000986.8047345,14319616,2058.52001953125
1659001041.4123034,14344192,2058.52001953125
1659001077.769307,14360576,2058.52001953125
1659001095.964804,14368768,2058.52001953125
1659001114.257749,14376960,2058.52001953125
1659001278.284,14450688,2058.52001953125
1659001332.8804207,14475264,2058.52001953125
1659001496.6161196,14548992,2058.52001953125
1659001605.8153775,14598144,2058.52001953125
1659001624.084835,14606336,2058.52001953125
1659001734.610313,14655488,2058.52001953125
1659001752.8964863,14663680,2058.52001953125
1659001771.1387455,14671872,2058.52001953125
1659001807.4938078,14688256,2058.52001953125
1659001916.9706347,14737408,2058.52001953125
1659002026.3581529,14786560,2058.52001953125
1659002044.6731095,14794752,2058.52001953125
1659002190.4459324,14860288,2058.52001953125
1659002208.5516474,14868480,2058.52001953125
1659002263.1785316,14893056,2058.52001953125
1659002317.7093005,14917632,2058.52001953125
1659002390.7791014,14950400,2058.52001953125
1659002427.2580535,14966784,2058.52001953125
1659002500.2120638,14999552,2058.52001953125
1659002610.3218207,15048704,2058.52001953125
1659002683.34999,15081472,2058.52001953125
1659002701.5211375,15089664,2058.52001953125
1659002756.156792,15114240,2058.52001953125
1659002792.801899,15130624,2058.52001953125
1659002847.7653382,15155200,2058.52001953125
1659002920.9357512,15187968,2058.52001953125
1659002957.7440207,15204352,2058.52001953125
1659002994.308175,15220736,2058.52001953125
1659003012.6255667,15228928,2058.52001953125
1659003030.9057238,15237120,2058.52001953125
1659003158.9289806,15294464,2058.52001953125
1659003195.388618,15310848,2058.52001953125
1659003213.7031717,15319040,2058.52001953125
1659003323.0724366,15368192,2058.52001953125
1659003341.2940133,15376384,2058.52001953125
1659003359.5612235,15384576,2058.52001953125
1659003396.046649,15400960,2058.52001953125
1659003432.629987,15417344,2058.52001953125
1659003652.7239823,15515648,2058.52001953125
1659003818.3661196,15589376,2058.52001953125
1659003892.0983987,15622144,2058.52001953125
1659003984.1821833,15663104,2058.52001953125
1659004002.6119475,15671296,2058.52001953125
1659004094.6396148,15712256,2058.52001953125
1659004113.0319753,15720448,2058.52001953125
1659004131.3737867,15728640,2058.52001953125
1659004204.687677,15761408,2058.52001953125
1659004222.9385066,15769600,2058.52001953125
1659004332.5421913,15818752,2058.52001953125
1659004406.3368068,15851520,2058.52001953125
1659004424.55477,15859712,2058.52001953125
1659004442.6495454,15867904,2058.52001953125
1659004479.0857933,15884288,2058.52001953125
1659004497.3434074,15892480,2058.52001953125
1659004588.8627298,15933440,2058.52001953125
1659004643.6135514,15958016,2058.52001953125
1659004680.2052128,15974400,2058.52001953125
1659004735.36907,15998976,2058.52001953125
1659004790.2744143,16023552,2058.52001953125
1659004845.0713265,16048128,2058.52001953125
1659004881.6117628,16064512,2058.52001953125
1659004991.2532442,16113664,2058.52001953125
1659005009.5195544,16121856,2058.52001953125
1659005046.1014767,16138240,2058.52001953125
1659005082.653975,16154624,2058.52001953125
1659005247.3848996,16228352,2058.52001953125
1659005265.552587,16236544,2058.52001953125
1659005283.8456032,16244736,2058.52001953125
1659005302.1444795,16252928,2058.52001953125
1659005558.760208,16367616,2052.89990234375
1659005632.2983525,16400384,2026.75
1659005705.6159785,16433152,2018.35498046875
1659005723.8686779,16441344,2021.7850341796875
1659005779.062362,16465920,2021.7850341796875
1659005797.4825888,16474112,1992.5899658203125
1659005852.614101,16498688,1992.5899658203125
1659005889.2342098,16515072,1974.4849853515625
1659005925.941909,16531456,1974.4849853515625
1659006017.4957461,16572416,1912.6400146484375
1659006072.6725779,16596992,1500.010009765625
1659006109.4105895,16613376,1231.010009765625
1659006127.6951613,16621568,1221.8599853515625
1659006164.4886646,16637952,1221.510009765625
1659006220.1426494,16662528,1275.989990234375
1659006275.9702115,16687104,1250.3499755859375
1659006312.783683,16703488,1259.6300048828125
1659006368.072869,16728064,1269.010009765625
1659006423.2324114,16752640,1300.0
1659006441.6402097,16760832,1306.52001953125
1659006496.790454,16785408,1401.2049560546875
1659006552.0721607,16809984,1478.0699462890625
1659006699.6945088,16875520,1730.25
1659006718.004888,16883712,1730.25
1659006754.8307786,16900096,1730.25
1659006846.9630764,16941056,1793.3050537109375
1659006938.7108505,16982016,1905.68994140625
1659006957.048926,16990208,1905.68994140625
1659006975.4406095,16998400,1920.0550537109375
1659007012.3603938,17014784,1981.175048828125
1659007030.971696,17022976,2016.6700439453125
1659007067.8158593,17039360,2093.885009765625
1659007104.7460055,17055744,2102.6650390625
1659007160.602598,17080320,2113.6298828125
1659007178.9460614,17088512,2110.239990234375
1659007252.100058,17121280,2176.125
1659007343.6543622,17162240,2190.489990234375
1659007380.3122346,17178624,2220.675048828125
1659007490.2126927,17227776,2270.43994140625
1659007508.546406,17235968,2270.43994140625
1659007526.9928706,17244160,2292.31494140625
1659007545.4267752,17252352,2292.31494140625
1659007563.6775365,17260544,2292.31494140625
1659007618.6664808,17285120,2292.31494140625
1659007655.4097419,17301504,2292.31494140625
1659007710.1268055,17326080,2292.31494140625
1659007728.4695523,17334272,2292.31494140625
1659007783.3404157,17358848,2292.31494140625
1659007820.2874415,17375232,2292.31494140625
